"Order","Class","File","Title","Description","Type","Rarity","Scope","Source"
"1","StrikeRevenant","strike_revenant.png","打击","造成{Damage:diff()}点伤害。","Attack","Basic","Pool","RevenantStarterCards.cs"
"2","DefendRevenant","defend_revenant.png","防御","获得{Block:diff()}点[gold]格挡[/gold]。","Skill","Basic","Pool","RevenantStarterCards.cs"
"3","RevenantCall","call.png","奏琴","[gold]呼唤[/gold]。","Skill","Basic","Pool","RevenantStarterCards.cs"
"4","RevenantResonance","resonance.png","怨气","[gold]共鸣[/gold]。","Skill","Basic","Pool","RevenantStarterCards.cs"
"5","CursedClawCombo","cursed_claw_combo.png","咒爪连击","造成{Damage:diff()}点伤害2次。
从[gold]抽牌堆[/gold]顶丢弃2张牌。","Attack","Common","Pool","RevenantCards.cs"
"6","Halo","halo.png","光环","造成{Damage:diff()}点伤害。
在下回合开始时[gold]回收[/gold]此牌，并将其伤害增加{Growth:diff()}。","Attack","Common","Pool","RevenantCards.cs"
"7","EmergencyRestore","emergency_restore.png","应急恢复","对自身打出时获得{Block:diff()}点[gold]格挡[/gold]。
对召唤物打出时恢复其{Heal:diff()}点生命。","Skill","Common","Pool","RevenantAdvancedCards.cs"
"8","PreciseLightningStrike","precise_lightning_strike.png","精准雷击","造成{Damage:diff()}点伤害。
若此牌在本回合内被[gold]回收[/gold]过，造成伤害翻倍。","Attack","Common","Pool","RevenantAdvancedCards.cs"
"9","ThreefoldHalo","threefold_halo.png","化三光环","对所有敌人造成{Damage:diff()}点伤害。
在下回合开始时[gold]回收[/gold]此牌，并将其[gold]耗能[/gold]减少1。","Attack","Uncommon","Pool","RevenantAdvancedCards.cs"
"10","AncientDragonLightning","ancient_dragon_lightning.png","古龙雷击","对随机敌人造成{IfUpgraded:show:X+1|X}次{Damage:diff()}点伤害。
若此牌在本回合内被[gold]回收[/gold]过，额外造成2次伤害。","Attack","Uncommon","Pool","RevenantAdvancedCards.cs"
"11","LansseaxBlade","lansseax_blade.png","兰斯桑克斯的刀","造成63点伤害。
[gold]回收[/gold]此牌后，这张牌的[gold]耗能[/gold]减1。","Attack","Rare","Pool","RevenantAdvancedCards.cs"
"12","LightningStrike","lightning_strike.png","雷击","造成{Damage:diff()}点伤害。
此牌被[gold]回收[/gold]后，在本回合内[gold]耗能[/gold]变为0。","Attack","Common","Pool","RevenantAdvancedCards.cs"
"13","AncientDragonSpear","ancient_dragon_spear.png","古龙雷枪","造成{Damage:diff()}点伤害。
本回合内[gold]回收[/gold]此牌后，额外给予{Vulnerable:diff()}层[gold]易伤[/gold]。","Attack","Uncommon","Pool","RevenantAdvancedCards.cs"
"14","Recover","recover.png","恢复","获得{Block:diff()}点[gold]格挡[/gold]。
恢复你的所有召唤物{Heal:diff()}点生命。","Skill","Common","Pool","RevenantAdvancedCards.cs"
"15","FlannSaxLightningSpear","flannsax_lightning_spear.png","弗尔桑克斯的雷枪","对所有敌人造成{Damage:diff()}点伤害{Repeat:diff()}次。
此牌被[gold]回收[/gold]后，在本场战斗中造成的伤害加2。","Attack","Rare","Pool","RevenantAdvancedCards.cs"
"16","BeastClaw","beast_claw.png","兽爪","{ChargeStateText}","Attack","Uncommon","Pool","RevenantAdvancedCards.cs"
"17","DeathLightning","death_lightning.png","死亡雷击","{ChargeStateText}","Attack","Uncommon","Pool","RevenantAdvancedCards.cs"
"18","SpaceRendingFrenzy","space_rending_frenzy.png","划空癫火","[gold]家人[/gold]失去5点生命。
造成{Damage:diff()}点伤害。","Attack","Uncommon","Pool","RevenantAdvancedCards.cs"
"19","WhiteShadowLure","white_shadow_lure.png","白影诱惑","阻止下{Prevent:diff()}次你的所有召唤物受到的生命损伤。","Skill","Uncommon","Pool","RevenantAdvancedCards.cs"
"20","Soulguard","soulguard.png","咒魂护身","每[gold]回收[/gold]1张牌，获得{Block:diff()}点[gold]格挡[/gold]。","Power","Uncommon","Pool","RevenantAdvancedCards.cs"
"21","LightningSpear","lightning_spear.png","雷电枪","{ChargeStateText}","Attack","Common","Pool","RevenantAdvancedCards.cs"
"22","SpiritForm","spirit_form.png","通灵形态","回合开始时，提升[gold]家人[/gold]4点生命并[gold]共鸣[/gold]。","Power","Rare","Pool","RevenantAdvancedCards.cs"
"23","UnbearableFrenzy","unbearable_frenzy.png","难耐癫火","对[gold]家人[/gold]造成8点伤害。
对随机敌人造成4点伤害6次。","Attack","Uncommon","Pool","RevenantAdvancedCards.cs"
"24","Beaststone","beaststone.png","兽石","造成{Damage:diff()}点伤害。
使[gold]家人[/gold]获得{Strength:diff()}点[gold]力量[/gold]。","Attack","Common","Pool","RevenantAdvancedCards.cs"
"25","RadagonHalo","radagon_halo.png","拉达冈的光环","造成{Damage:diff()}点伤害。
在下回合开始时[gold]回收[/gold]此牌，并将其伤害翻倍。","Attack","Rare","Pool","RevenantAdvancedCards.cs"
"26","SoulSummon","soul_summon.png","招魂","[gold]回收[/gold]2张牌，并使其在下次打出前[gold]耗能[/gold]减1。","Skill","Rare","Pool","RevenantAdvancedCards.cs"
"27","GraveRob","grave_rob.png","掘墓","丢弃[gold]抽牌堆[/gold]顶{Cards:diff()}张牌。
[gold]回收[/gold]1张牌。","Skill","Common","Pool","RevenantAdvancedCards.cs"
"28","GreaterRecover","greater_recover.png","大恢复","获得{Block:diff()}点[gold]格挡[/gold]。
恢复所有召唤物12点生命。","Skill","Uncommon","Pool","RevenantAdvancedCards.cs"
"29","AncientDragonFaith","ancient_dragon_faith.png","古龙信仰","回合开始时，[gold]回收[/gold]1张牌。","Power","Rare","Pool","RevenantAdvancedCards.cs"
"30","BeastClawMark","beast_claw_mark.png","野兽爪痕","每次[gold]共鸣[/gold]后，增加[gold]家人[/gold]{Strength:diff()}点[gold]力量[/gold]。","Power","Rare","Pool","RevenantAdvancedCards.cs"
"31","GoldenOrder","golden_order.png","黄金律法","使所有[gold]虚无[/gold]牌[gold]耗能[/gold]-1。","Power","Rare","Pool","RevenantAdvancedCards.cs"
"32","SpiritLink","spirit_link.png","灵界链接","每次[gold]呼唤[/gold]后，提升[gold]家人[/gold]{MaxHp:diff()}点最大生命。","Power","Uncommon","Pool","RevenantAdvancedCards.cs"
"33","BlessingOfGrace","blessing_of_grace.png","恩惠赐福","回合开始时，恢复[gold]家人[/gold]{Heal:diff()}点生命。","Power","Uncommon","Pool","RevenantAdvancedCards.cs"
"34","GurranqBeastClaw","gurranq_beast_claw.png","古兰格的兽爪","{ChargeStateText}","Attack","Rare","Pool","RevenantAdvancedCards.cs"
"35","GurranqsRock","gurranqs_rock.png","古兰格的岩石","对随机敌人造成X次{Damage:diff()}点伤害。
若X为2或以上，[gold]共鸣[/gold]。
若X为3或以上，[gold]呼唤[/gold]。","Attack","Rare","Pool","RevenantExpansionCards.cs"
"36","FrenziedFlame","frenzied_flame.png","癫火","使[gold]家人[/gold]失去全部生命。
造成等同于[gold]家人[/gold]失去生命{DamageMultiplier:diff()}倍的伤害。","Attack","Rare","Pool","RevenantExpansionCards.cs"
"37","Ensemble","ensemble.png","合奏","{ChargeStateText}","Skill","Common","Pool","RevenantExpansionCards.cs"
"38","Surge","surge.png","激荡","[gold]共鸣[/gold]。
这张牌被[gold]回收[/gold]后，直到下次打出前[gold]耗能[/gold]-1。","Skill","Uncommon","Pool","RevenantExpansionCards.cs"
"39","UnderworldRising","underworld_rising.png","冥府回升","[gold]呼唤[/gold]。
这张牌被[gold]回收[/gold]后，直到下次打出前[gold]耗能[/gold]-1。","Skill","Rare","Pool","RevenantExpansionCards.cs"
"40","Resurgence","resurgence.png","复苏","获得{Energy:diff()}点能量。
这张牌被[gold]回收[/gold]后，直到下次打出前[gold]耗能[/gold]-1。","Skill","Uncommon","Pool","RevenantExpansionCards.cs"
"41","NightMustStaySoulbound","soulbound.png","魂牵","丢弃1张[gold]手牌[/gold]。
[gold]回收[/gold]等同于所丢弃牌数的牌。","Skill","Common","Pool","RevenantExpansionCards.cs"
"42","AnswerTheCall","answer_the_call.png","应召而来","丢弃{Cards:diff()}张[gold]手牌[/gold]。
[gold]呼唤[/gold]。","Skill","Common","Pool","RevenantExpansionCards.cs"
"43","RevenantCard","revenant_card.png","复仇者","阻挡所有队友下{Buffer:diff()}次的生命损伤。","Power","Rare","Pool","RevenantExpansionCards.cs"
"44","KingsRecovery","kings_recovery.png","王之恢复","为所有我方人物恢复{Heal:diff()}点生命。","Skill","Uncommon","Pool","RevenantExpansionCards.cs"
"45","UndyingMarch","undying_march.png","不死行军","本回合你的[gold]家人[/gold]不会死亡（至少剩余1点生命）。","Skill","Rare","Pool","RevenantExpansionCards.cs"
"46","FrenziedThreeFingers","frenzied_three_fingers.png","癫狂叁指","[gold]家人[/gold]失去生命时，对随机敌人造成等同于失去生命的伤害。","Power","Rare","Pool","RevenantTextTableCards.cs"
"47","FormationBreakerHammer","formation_breaker_hammer.png","破阵重锤","[gold]共鸣[/gold]。
如果[gold]弗雷德利克[/gold]在场，则其对随机敌人造成27点伤害。","Skill","Rare","Pool","RevenantTextTableCards.cs"
"48","LifeAndDeath","life_and_death.png","生与死","将当前[gold]格挡[/gold]值全部转化为[gold]家人[/gold]的最大生命。","Skill","Uncommon","Pool","RevenantTextTableCards.cs"
