"File","Width","Height","Expected","SizePass","Sha256"
"images__packed__card_portraits__defect__creative_ai.png","1000","760","1000x760","True","44617E5A617EAD11781100BEFAA369ADDCCD9F867BC63764C7D0EB96FAFD2601"
"images__packed__card_portraits__defect__defend_defect.png","1000","760","1000x760","True","CB60D384CA3245EF0BEDAF36182B4B9937765A3839D467E60904A711930C8B93"
"images__packed__card_portraits__defect__echo_form.png","1000","760","1000x760","True","EAD38C4BC04E93D6472F056453C6F6586F067A3803B3173F8F04E7B795AB9C35"
"images__packed__card_portraits__defect__meteor_strike.png","1000","760","1000x760","True","A2808AB640E1083BDFC9D3FA7B9184B3D6F308CEDBD9AEBA6C49DF15D6BBDA9E"
"images__packed__card_portraits__defect__strike_defect.png","1000","760","1000x760","True","940F9336B53E07BF457468F48C379D3A57810A6D2896AAA97433B48CA61FF390"
"images__packed__card_portraits__ironclad__barricade.png","1000","760","1000x760","True","9B5A4C4E73F9B7540EA24C7D6C44A576B96E0DB0CBBCAAF20901E1CABCC6FB54"
"images__packed__card_portraits__ironclad__defend_ironclad.png","1000","760","1000x760","True","4B5C76A2463A8DB99E435C3817936B88738A8F571D3F85E7850FD2DFEB5EB225"
"images__packed__card_portraits__ironclad__demon_form.png","1000","760","1000x760","True","168AE1E1CFBAEC8647826BEB54C2B6DC062F76C96B9F7B41E0EDC12A5C19B83E"
"images__packed__card_portraits__ironclad__fiend_fire.png","1000","760","1000x760","True","83EA491331FA35D1AAE33E200111C13C66142CB3EBABC738AA8781875971AE19"
"images__packed__card_portraits__ironclad__inflame.png","1000","760","1000x760","True","F601274BB8A0FC2E0FA690F67F4562120FCBB9EE880A58EBC8D83B64F3A69B5F"
"images__packed__card_portraits__ironclad__strike_ironclad.png","1000","760","1000x760","True","DECDC1380438EB01FC8448E8E294699CC386B761137184E214AF6CFFD3039D8C"
"images__packed__card_portraits__necrobinder__grave_warden.png","1000","760","1000x760","True","34AF8E455E8A6E905124CB3E148F18C992241A30D3E6E3FF9FD0A72B96AD1369"
"images__packed__card_portraits__necrobinder__reaper_form.png","1000","760","1000x760","True","1C24877DE847EA21CCA6E7C54934C3806F308AB40628BF22FE808468E0B0524B"
"images__packed__card_portraits__necrobinder__strike_necrobinder.png","1000","760","1000x760","True","ED34D1604A2A0C40EBD64CBD619F33E073F021393B24381ADA703E81E22A7C9C"
"images__packed__card_portraits__regent__big_bang.png","1000","760","1000x760","True","D84AE143A247050169C9818164632A4939C364C1248697E065DF70DC7E9ACDCF"
"images__packed__card_portraits__regent__strike_regent.png","1000","760","1000x760","True","D499AE89E2A0B026C67B0CC9885963452F4C10A341B66001CBF4844118CF1A58"
"images__packed__card_portraits__regent__the_smith.png","1000","760","1000x760","True","D4F2575773DEDD1CE9BB3F3CEA77FEBBB08AD598DB63C9D15D1D7F2ED78CEBD6"
"images__packed__card_portraits__regent__tyranny.png","1000","760","1000x760","True","73719FE81C8AB29F75229FDCAA85C8BF595F271F560CAEFF65F08453970B1FD7"
"images__packed__card_portraits__regent__void_form.png","1000","760","1000x760","True","43E6F01C2D636EC8C81BD979D6B3D12A1E885243B35C8A6A35450DC15E3B3400"
"images__packed__card_portraits__silent__defend_silent.png","1000","760","1000x760","True","3750532388CCB17654F77327F456FFDF4D2A6F92413430610105D107F95ACF1B"
"images__packed__card_portraits__silent__footwork.png","1000","760","1000x760","True","2B11230FFCA107921FAE141C01A27B96D039E44BFB551282B55C3D0CF63A9C98"
"images__packed__card_portraits__silent__grand_finale.png","1000","760","1000x760","True","97AD75EBBFDEDB58FBEAFFC9280DC981028A2AD4DBCC90590767DABFB55DAD3E"
"images__packed__card_portraits__silent__nightmare.png","1000","760","1000x760","True","8CC5D1B728A1CB281E42055905AAC33F193808F0B656B0F79C377E15AAD4AACA"
"images__packed__card_portraits__silent__phantom_blades.png","1000","760","1000x760","True","10863AA39014BF9CC6D2DA48A14E3D596A3F83F37B80760B124D9143F3E20813"
"images__packed__card_portraits__silent__strike_silent.png","1000","760","1000x760","True","40D38CB14208241E981FD428603ABB0084A82F88A0E0D36C5A86B85A74BA9191"
